D6199   -1.26  0.15 K25BL 211.45607  150.72925   36.02712   43.86902  0.4369635  0.00175779  67.9971911  2 E2026-G01  3346  34 1954-2026 0.69 M-v 3Ek MPCORBFIT  000A (136199) Eris               20260206 2545510.89995 2003 UB313
D6472   -0.25  0.15 K25BL 169.31834  297.07677   79.26907   29.03230  0.1604220  0.00321019  45.5109213  1 E2026-G21  5728  29 1955-2026 0.60 M-v 3Ek MPCORBFIT  000A (136472) Makemake           20260405 2408254.99674 2005 FY9  
D6108    0.14  0.15 K25BL 222.32670  240.88847  121.79751   28.20842  0.1957678  0.00349473  43.0057630  1 E2026-GD4  5885  32 1955-2026 0.68 M-v 3Ek MPCORBFIT  000A (136108) Haumea             20260414 2500395.38368 2003 EL61 
90377    1.51  0.15 K25BL 358.60729  311.01040  144.47860   11.92592  0.8613006  0.00007651 549.5510676  5 MPO965681   613  26 1990-2025 0.67 M-v 3Ek MPCLINUX   000A  (90377) Sedna              20251225 2479205.85948 2003 VB12 
M5088    1.84  0.15 K25BL 111.38406  206.64413  336.84008   30.86640  0.5031767  0.00180141  66.8950294  3 MPO967294   483  23 1985-2025 0.58 M-v 3Ek MPCORBFIT  000A (225088) Gonggong           20251015 2399168.55818 2007 OR10 
90482    2.13  0.15 K25BL 188.11890   73.71754  268.38596   20.55552  0.2217441  0.00399516  39.3350490  1 E2026-GD4  1707  32 1951-2026 0.77 M-v 3Ek MPCORBFIT  000A  (90482) Orcus              20260413 2504023.47815 2004 DW   
50000    2.41  0.15 K25BL 291.48220  163.92241  188.96329    7.99137  0.0358352  0.00347751  43.1476667  1 MPO937851   705  33 1954-2025 0.63 M-v 3Ek MPCLINUX   000A  (50000) Quaoar             20250728 2480703.67757 2002 LM60 
r2037    3.09  0.15 K25BL 218.04521  139.46932  187.03096   33.14540  0.3918109  0.00218373  58.8396453  3 MPO905275   133  13 2011-2025 0.84 M-v 3Ek MPCLINUX   000A (532037) Chiminigagua       20250222 2526007.04394 2013 FY27 
00004    3.25  0.15 K25BL  26.80969  151.53711  103.70232    7.14406  0.0901676  0.27158812   2.3615413  0 MPO964264  7603 112 1821-2025 0.69 M-p 18k MPCORBFIT  4000      (4) Vesta              20250624 2460901.78548 A807 FA   
00001    3.34  0.15 K25BL 231.53974   73.29974   80.24964   10.58789  0.0795764  0.21429712   2.7656157  0 E2026-GD4  7297 126 1801-2026 0.83 M-v 30k Veres      4000      (1) Ceres              20260103 2461599.94936 A801 AA    A899 OF    1943 XB   
55565    3.44  0.15 K25BL 303.20337  294.58788  297.37388   24.34204  0.1276731  0.00302998  47.2979676  2 MPO965177   571  25 1997-2025 0.55 M-v 3Ek MPCORBFIT  000A  (55565) Aya                20251222 2479745.88104 2002 AW197
M9762    3.45  0.15 K25BL 348.74675  345.94033  131.24014   23.33295  0.4960962  0.00153006  74.5872219  3 MPO967342   808  26 1982-2026 0.68 M-v 3Ek MPCORBFIT  000A (229762) G!kun||'homdima    20260111 2468355.56536 2007 UK126
H4567    3.46  0.15 K25BL 276.56310  184.96957  184.12149   21.51403  0.1430036  0.00320724  45.5388213  2 MPO842632   267  26 1980-2022 0.62 M-v 3Ek MPCLINUX   000A (174567) Varda              20220626 2487015.99638 2003 MW12 
28978    3.47  0.15 K25BL 294.20451  300.65592   71.09298   19.67058  0.2442452  0.00399273  39.3510130  3 E2024-C06   190  23 1982-2022 0.48 M-v 3Ek MPCLINUX   000A  (28978) Ixion              20220602 2477479.44658 2001 KX76 
K14UM4Z  3.48  0.15 K25BL 323.66421   28.60023  131.18302   26.77725  0.6488316  0.00085518 109.9254612  6 MPO893508    71   7 2006-2022 0.24 M-v 3Ek MPCLINUX   000A          2014 UZ224         20221007 2503493.53005 
K17OK1F  3.49  0.15 K25BL   1.39019  337.99660  328.72164   16.21706  0.9465922  0.00004002 846.4127624  2 MPO929799    25   7 2004-2018 0.32 M-v 3Ek MPCLINUX   000A          2017 OF201         20181031 2426245.75000 
55636    3.51  0.15 K25BL  82.62765  342.67009  324.67499   25.85745  0.1212837  0.00343801  43.4774687  1 MPO965178  1039  30 1954-2026 0.65 M-v 3Ek MPCORBFIT  000A  (55636) 2002 TX300         20260107 2436966.86126 
K21D15R  3.61  0.15 K25BL 124.90356   22.76694  334.15059   30.43521  0.4302933  0.00176937  67.7001367  5 MPO687993    21   9 2005-2021 0.28 M-v 3Ek MPCLINUX   000A          2021 DR15          20211206 2390405.59806 
U7261    3.64  0.15 K25BL 229.88153  215.21563  216.18632   17.70396  0.1486950  0.00367399  41.5953164  1 MPO916462   149  25 1954-2023 0.52 M-v 3Ek MPCLINUX   000A (307261) Mani               20230703 2496417.48740 2002 MS4  
E5452    3.70  0.15 K25BL 347.93901  178.79472  187.00289   19.26445  0.0238913  0.00367953  41.5535396  1 MPO966389  1250  31 1954-2025 0.69 M-v 3Ek MPCORBFIT  000A (145452) Ritona             20251206 2464278.38830 2005 RN43 
K8996    3.71  0.15 K25BL 242.80838   14.40319  251.87286   13.54523  0.1748333  0.00395099  39.6276864  1 E2026-E92   552  24 1996-2026 0.66 M-v 3Ek MPCORBFIT  000A (208996) Achlys             20260309 2490662.50613 2003 AZ84 
U3775    3.75  0.15 K25BL  16.46080  224.25470   78.53602   14.00653  0.6696075  0.00082969 112.1654846  1 MPO968110   583  24 1974-2025 0.67 M-v 3Ek MPCORBFIT  000A (303775) 2005 QU182         20251224 2441158.64851 
20000    3.79  0.15 K25BL 115.03665  273.21350   97.21032   17.13814  0.0525432  0.00347385  43.1779267  1 E2026-E92   929  31 1954-2026 0.69 M-v 3Ek MPCORBFIT  000A  (20000) Varuna             20260309 2427884.99249 2000 WR106
w9683    3.80  0.15 K25BL 105.84154  191.43156   25.37648   30.61176  0.2444049  0.00284718  49.3014203  2 MPO954420   226  16 1976-2025 0.71 M-v 3Ek MPCORBFIT  000A (589683) 2010 RF43          20250925 2423825.29014 
q3794    3.81  0.15 K25BL 328.12274  260.42471  211.80776    7.53524  0.5896239  0.00131073  82.6912586  4 MPO969962   296  16 2004-2025 0.77 M-v 3Ek MPCORBFIT  000A (523794) 2015 RR245         20251211 2485321.29042 
55637    3.83  0.15 K25BL 309.88707  275.63201  204.59388   19.41137  0.1464085  0.00349847  42.9751665  2 E2026-E92   844  27 1991-2026 0.77 M-v 3Ek MPCORBFIT  000A  (55637) Uni                20260309 2475325.02836 2002 UX25 
v4372    3.83  0.15 K25BL  38.90285    9.32667  147.07867   32.05935  0.4980624  0.00143306  77.9161317  2 MPO928928   218  15 1951-2025 0.70 M-v 3Ek MPCLINUX   000A (574372) 2010 JO179         20250630 2433852.66329 
q3692    3.86  0.15 K25BL 270.89486  332.63443   27.60457   10.28181  0.2282203  0.00263853  51.8673622  2 MPO969962   182  13 2010-2024 0.71 M-v 3Ek MPCLINUX   000A (523692) 2014 EZ51          20240706 2494771.63511 
K2421    3.91  0.15 K25BL 238.77120  219.57022  307.89269   25.71755  0.1452455  0.00343180  43.5299649  2 MPO967044   743  27 1990-2025 0.65 M-v 3Ek MPCORBFIT  000A (202421) 2005 UQ513         20251214 2496325.63550 
84522    3.92  0.15 K25BL 331.72797   86.07062   23.82538   35.00796  0.2995122  0.00236222  55.8371059  2 MPO965599   549  24 2000-2026 0.71 M-v 3Ek MPCORBFIT  000A  (84522) 2002 TC302         20260107 2472969.01664 
K18V18G  3.94  0.15 K25BL 159.59191   17.42192  245.25906   24.13868  0.5245692  0.00132678  82.0232255  6 MPO687843    33   5 2005-2020 0.51 M-v 3Ek MPCLINUX   000A          2018 VG18          20200116 2340708.11287 
C0178    3.95  0.15 K25BL  82.99639   68.76155  183.01293   27.15473  0.1034243  0.00347419  43.1750945  1 MPO966075   747  24 1990-2026 0.69 M-v 3Ek MPCORBFIT  000A (120178) 2003 OP32          20260110 2437110.45941 
